Skaters,,,,
Pos,Player,Team,Status,Salary
C,"Barkov, Aleksander",FLA,Act,"5,900,000"
C,"Eriksson Ek, Joel",MIN,Act,"894,167"
C,"McDavid, Connor",EDM,Act,"925,000"
W,"Dubois, Pierre-Luc",CBJ,Act,"894,166"
W,"Palat, Ondrej",TB,Act,"5,300,000"
W,"Schwartz, Jaden",STL,Act,"5,350,000"
W,"Sedin, Daniel",VAN,Act,"7,000,000"
W,"Smith, Reilly",VGK,Act,"5,000,000"
W,"Stone, Mark",OTT,Act,"3,500,000"
F,"Bailey, Josh",NYI,Act,"3,300,000"
F,"Barzal, Mathew",NYI,Act,"863,333"
F,"Henrique, Adam",NJ,Act,"4,000,000"
F,"O'Reilly, Ryan",BUF,Act,"7,500,000"
F,"Stastny, Paul",STL,Act,"7,000,000"
D,"Brodie, T.J.",CGY,Act,"4,650,400"
D,"Hamilton, Dougie",CGY,Act,"5,750,000"
D,"Josi, Roman",NSH,Act,"4,000,000"
D,"Klingberg, John",DAL,Act,"4,250,000"
D,"Nurse, Darnell",EDM,Act,"863,333"
D,"Provorov, Ivan",PHI,Act,"894,167"
Enf,"Wilson, Tom",WSH,Act,"2,000,000"
PK,"Pesce, Brett",CAR,Act,"925,000"
W,"Malgin, Denis",FLA,Res,"690,000"
W,"Nylander, Alexander",BUF,Res,"894,166"
F,"White, Colin",OTT,Res,"925,000"
C,"Chlapik, Filip",OTT,Min,"728,333"
C,"Pettersson, Elias",VAN,Min,"500,000"
C,"Saarela, Aleksi",CAR,Min,"753,333"
W,"Greenway, Jordan",MIN,Min,"500,000"
D,"Bear, Ethan",EDM,Min,"720,000"
Totals,,,,
,,,,
Goalies,,,,
Pos,Player,Team,Status,Salary
G,"Forsberg, Anton",CHI,Act,"750,000"
G,"Mason, Steve",WPG,Act,"4,100,000"
G,"Stolarz, Anthony",PHI,Res,"725,000"
G,"Gillies, Jon",CGY,Min,"725,000"
G,"Samsonov, Ilya",WSH,Min,"500,000"
Totals,,,,
